1,2961.577222425515,Alabama,0.90234375,0.16015625,0.5390625
2,2293.6880904246523,Arizona,0.84765625,0.37109375,0.0078125
3,1961.0459397277182,Arkansas,0.10546875,0.6171875,0.46484375
4,2381.8891550684157,California,0.90234375,0.16015625,0.5390625
5,4247.033401164596,Colorado,0.45703125,0.4375,0.69921875
6,11276.838884905688,Connecticut,0.10546875,0.6171875,0.46484375
7,9071.438868180976,Delaware,0.8984375,0.66796875,0.0078125
8,11527.72566542734,District of Columbia,0.90234375,0.16015625,0.5390625
9,2386.425322084133,Florida,0.8984375,0.66796875,0.0078125
10,3887.099438622804,Georgia,0.45703125,0.4375,0.69921875
11,1511.5231546417615,Idaho,0.45703125,0.4375,0.69921875
12,8657.521114759029,Illinois,0.3984375,0.6484375,0.1171875
13,4799.071709791692,Indiana,0.45703125,0.4375,0.69921875
14,5516.439686346029,Iowa,0.45703125,0.4375,0.69921875
15,3130.359103859326,Kansas,0.84765625,0.37109375,0.0078125
16,1977.2978569024867,Kentucky,0.90234375,0.16015625,0.5390625
17,7964.53354387573,Louisiana,0.84765625,0.37109375,0.0078125
18,1532.5190707686895,Maine,0.10546875,0.6171875,0.46484375
19,7717.610462000637,Maryland,0.10546875,0.6171875,0.46484375
20,13439.256882007136,Massachusetts,0.90234375,0.16015625,0.5390625
21,5466.523113342902,Michigan,0.8984375,0.66796875,0.0078125
22,3657.1441973418673,Minnesota,0.3984375,0.6484375,0.1171875
23,4443.163017113201,Mississippi,0.3984375,0.6484375,0.1171875
24,1974.449338058322,Missouri,0.8984375,0.66796875,0.0078125
25,451.8369998023213,Montana,0.8984375,0.66796875,0.0078125
26,6279.271573450401,Nebraska,0.10546875,0.6171875,0.46484375
27,2580.1289181189363,Nevada,0.3984375,0.6484375,0.1171875
28,3072.7653036669562,New Hampshire,0.45703125,0.4375,0.69921875
29,17066.00071383719,New Jersey,0.84765625,0.37109375,0.0078125
30,3321.3629067282473,New Mexico,0.10546875,0.6171875,0.46484375
31,18444.142412601184,New York,0.8984375,0.66796875,0.0078125
32,2235.9640848268873,North Carolina,0.10546875,0.6171875,0.46484375
33,3202.963833917255,North Dakota,0.84765625,0.37109375,0.0078125
34,2728.765871340981,Ohio,0.3984375,0.6484375,0.1171875
35,1532.2846902731899,Oklahoma,0.90234375,0.16015625,0.5390625
36,935.3354146610017,Oregon,0.84765625,0.37109375,0.0078125
37,5587.730931459782,Pennsylvania,0.45703125,0.4375,0.69921875
38,13248.413882484138,Rhode Island,0.84765625,0.37109375,0.0078125
39,1984.1160671545767,South Carolina,0.84765625,0.37109375,0.0078125
40,5199.4212738809965,South Dakota,0.90234375,0.16015625,0.5390625
41,2965.9874938150233,Tennessee,0.8984375,0.66796875,0.0078125
42,1952.701909433176,Texas,0.8984375,0.66796875,0.0078125
43,2656.5633066347614,Utah,0.90234375,0.16015625,0.5390625
44,1533.7521636002307,Vermont,0.3984375,0.6484375,0.1171875
45,4251.283771578974,Virginia,0.84765625,0.37109375,0.0078125
46,2787.3122713979005,Washington,0.10546875,0.6171875,0.46484375
47,982.7644631926423,West Virginia,0.8984375,0.66796875,0.0078125
48,2640.5759043968174,Wisconsin,0.90234375,0.16015625,0.5390625
49,1418.8105696158404,Wyoming,0.3984375,0.6484375,0.1171875
